TransactionID,CustomerName,TextileType,Category,Region,SalespersonName,OrderDate,Quantity,PricePerUnit,TotalAmount,PaymentMethod
18,ABC Textiles,Silk Fabric,Blended Fabrics,North America,John Doe,9/19/2024,985,9.39,9249.15,PayPal
19,ABC Textiles,Woolen Fabric,Natural Fibers,Asia,John Doe,9/6/2024,691,14.14,9770.74,PayPal
20,XYZ Apparel,Silk Fabric,Blended Fabrics,Asia,Mike Johnson,8/24/2024,333,27.31,9094.23,PayPal
21,ABC Textiles,Silk Fabric,Natural Fibers,Asia,Jane Smith,9/5/2024,607,18.04,10950.28,Bank Transfer
22,ABC Textiles,Denim,Blended Fabrics,Europe,John Doe,9/9/2024,196,16.32,3198.72,Bank Transfer
23,ABC Textiles,Silk Fabric,Natural Fibers,North America,Mike Johnson,8/24/2024,861,18.22,15687.42,Bank Transfer
24,ABC Textiles,Silk Fabric,Blended Fabrics,Asia,John Doe,9/18/2024,392,29.79,11677.68,PayPal
25,ABC Textiles,Woolen Fabric,Blended Fabrics,North America,Mike Johnson,9/6/2024,694,18.02,12505.88,Credit Card
26,ABC Textiles,Silk Fabric,Blended Fabrics,North America,John Doe,9/19/2024,146,6.1,890.6,Credit Card
27,ABC Textiles,Cotton Fabric,Natural Fibers,Asia,Mike Johnson,9/20/2024,141,12.29,1732.89,PayPal
28,XYZ Apparel,Denim,Blended Fabrics,Europe,John Doe,9/12/2024,976,8.65,8442.4,PayPal
29,ABC Textiles,Cotton Fabric,Natural Fibers,Asia,Jane Smith,9/1/2024,958,10.44,10001.52,Bank Transfer
30,ABC Textiles,Woolen Fabric,Blended Fabrics,North America,John Doe,8/26/2024,588,21.19,12459.72,Bank Transfer
31,XYZ Apparel,Woolen Fabric,Natural Fibers,Europe,Jane Smith,9/22/2024,593,10.84,6428.12,PayPal
32,XYZ Apparel,Woolen Fabric,Natural Fibers,Europe,John Doe,9/13/2024,839,5.24,4396.36,Bank Transfer
33,ABC Textiles,Cotton Fabric,Natural Fibers,Europe,Jane Smith,9/12/2024,227,29.84,6773.68,Bank Transfer
34,XYZ Apparel,Silk Fabric,Blended Fabrics,North America,Mike Johnson,9/16/2024,831,5.23,4346.13,Credit Card
35,XYZ Apparel,Cotton Fabric,Natural Fibers,North America,John Doe,9/20/2024,183,6.93,1268.19,Credit Card
36,ABC Textiles,Woolen Fabric,Natural Fibers,North America,John Doe,9/3/2024,110,15.51,1706.1,PayPal
37,ABC Textiles,Denim,Blended Fabrics,Asia,Mike Johnson,9/1/2024,161,28.94,4659.34,Bank Transfer
38,XYZ Apparel,Denim,Blended Fabrics,Asia,Mike Johnson,9/3/2024,864,10.79,9322.56,PayPal
39,ABC Textiles,Denim,Natural Fibers,Asia,John Doe,9/8/2024,741,25.82,19132.62,Cash
40,ABC Textiles,Silk Fabric,Natural Fibers,North America,John Doe,9/5/2024,284,8.27,2348.68,Bank Transfer
41,XYZ Apparel,Cotton Fabric,Blended Fabrics,Europe,Mike Johnson,9/21/2024,467,5.02,2344.34,Cash
42,XYZ Apparel,Denim,Blended Fabrics,Asia,John Doe,9/20/2024,676,29.81,20151.56,PayPal
43,XYZ Apparel,Cotton Fabric,Natural Fibers,Asia,John Doe,8/25/2024,162,27.18,4403.16,Bank Transfer
44,XYZ Apparel,Denim,Blended Fabrics,Asia,Mike Johnson,8/24/2024,163,29.49,4806.87,PayPal
45,XYZ Apparel,Cotton Fabric,Blended Fabrics,Asia,John Doe,9/12/2024,137,14.25,1952.25,Credit Card
46,XYZ Apparel,Cotton Fabric,Natural Fibers,Europe,John Doe,9/8/2024,524,13.41,7026.84,Cash
47,XYZ Apparel,Denim,Natural Fibers,Asia,Jane Smith,9/16/2024,680,5.46,3712.8,Bank Transfer
48,XYZ Apparel,Cotton Fabric,Blended Fabrics,Asia,Jane Smith,9/16/2024,272,21.15,5752.8,Cash
49,ABC Textiles,Woolen Fabric,Blended Fabrics,North America,John Doe,8/30/2024,129,19.55,2521.95,Bank Transfer
50,XYZ Apparel,Cotton Fabric,Natural Fibers,Europe,Jane Smith,9/6/2024,540,6.16,3326.4,Credit Card
51,XYZ Apparel,Woolen Fabric,Natural Fibers,North America,Mike Johnson,8/27/2024,241,17.13,4128.33,Bank Transfer
52,XYZ Apparel,Cotton Fabric,Natural Fibers,Europe,John Doe,8/24/2024,494,8.86,4376.84,Credit Card
53,XYZ Apparel,Woolen Fabric,Natural Fibers,Asia,Mike Johnson,9/16/2024,940,6.81,6401.4,PayPal
54,XYZ Apparel,Denim,Natural Fibers,Europe,Mike Johnson,9/9/2024,242,24.54,5938.68,PayPal
55,ABC Textiles,Cotton Fabric,Blended Fabrics,North America,Jane Smith,8/30/2024,489,5.08,2484.12,Cash
56,ABC Textiles,Silk Fabric,Blended Fabrics,North America,John Doe,9/19/2024,160,29.07,4651.2,PayPal
57,XYZ Apparel,Denim,Blended Fabrics,Asia,Mike Johnson,9/1/2024,951,9.74,9262.74,PayPal
58,XYZ Apparel,Woolen Fabric,Blended Fabrics,Asia,Mike Johnson,9/21/2024,784,7.93,6217.12,PayPal
59,ABC Textiles,Silk Fabric,Blended Fabrics,Europe,Jane Smith,8/27/2024,645,11.4,7353,PayPal
60,XYZ Apparel,Cotton Fabric,Blended Fabrics,Europe,Mike Johnson,8/28/2024,783,23.19,18157.77,PayPal
61,ABC Textiles,Silk Fabric,Blended Fabrics,North America,Jane Smith,9/18/2024,515,20.34,10475.1,PayPal
62,ABC Textiles,Woolen Fabric,Natural Fibers,North America,Mike Johnson,8/25/2024,826,22.5,18585,Cash
63,XYZ Apparel,Denim,Blended Fabrics,Asia,Mike Johnson,9/14/2024,737,25.53,18815.61,PayPal
64,XYZ Apparel,Woolen Fabric,Blended Fabrics,North America,Mike Johnson,9/9/2024,728,19.62,14283.36,Cash
65,XYZ Apparel,Woolen Fabric,Blended Fabrics,Asia,John Doe,9/16/2024,777,17.32,13457.64,PayPal
66,XYZ Apparel,Denim,Natural Fibers,Europe,Jane Smith,9/12/2024,681,13.18,8975.58,Credit Card
67,ABC Textiles,Denim,Natural Fibers,North America,Jane Smith,9/17/2024,546,24.51,13382.46,Credit Card
68,ABC Textiles,Denim,Blended Fabrics,North America,Jane Smith,9/16/2024,848,11.75,9964,Bank Transfer
69,XYZ Apparel,Silk Fabric,Natural Fibers,Asia,John Doe,9/10/2024,393,18.83,7400.19,PayPal
70,XYZ Apparel,Silk Fabric,Blended Fabrics,North America,John Doe,9/18/2024,477,20.19,9630.63,Bank Transfer
71,XYZ Apparel,Silk Fabric,Blended Fabrics,North America,Jane Smith,9/2/2024,968,19.46,18837.28,PayPal
72,ABC Textiles,Woolen Fabric,Natural Fibers,Asia,John Doe,9/19/2024,320,22.22,7110.4,Cash
73,XYZ Apparel,Cotton Fabric,Blended Fabrics,North America,Mike Johnson,9/3/2024,221,11.55,2552.55,Bank Transfer
74,XYZ Apparel,Cotton Fabric,Blended Fabrics,Asia,Mike Johnson,9/19/2024,649,24.59,15958.91,Bank Transfer
75,ABC Textiles,Denim,Blended Fabrics,Asia,Jane Smith,9/2/2024,303,28.99,8783.97,Bank Transfer
76,ABC Textiles,Woolen Fabric,Natural Fibers,Europe,Mike Johnson,9/10/2024,173,15.4,2664.2,PayPal
77,ABC Textiles,Cotton Fabric,Natural Fibers,Asia,Mike Johnson,8/24/2024,609,16.83,10249.47,Bank Transfer
78,XYZ Apparel,Woolen Fabric,Blended Fabrics,North America,Mike Johnson,9/2/2024,187,18.2,3403.4,Cash
79,XYZ Apparel,Cotton Fabric,Natural Fibers,Europe,John Doe,9/1/2024,976,27.22,26566.72,Bank Transfer
80,ABC Textiles,Cotton Fabric,Blended Fabrics,Europe,John Doe,8/28/2024,889,19.95,17735.55,Credit Card
81,ABC Textiles,Woolen Fabric,Natural Fibers,Europe,Jane Smith,8/28/2024,525,13.93,7313.25,PayPal
82,ABC Textiles,Denim,Blended Fabrics,Asia,John Doe,9/5/2024,861,27.82,23953.02,PayPal
83,XYZ Apparel,Woolen Fabric,Blended Fabrics,North America,Mike Johnson,9/22/2024,707,7.48,5288.36,PayPal
84,XYZ Apparel,Woolen Fabric,Blended Fabrics,Asia,John Doe,9/19/2024,611,18.53,11321.83,Bank Transfer
85,XYZ Apparel,Silk Fabric,Natural Fibers,North America,Mike Johnson,8/31/2024,143,8.39,1199.77,PayPal
86,ABC Textiles,Silk Fabric,Natural Fibers,Asia,John Doe,9/12/2024,795,22.57,17943.15,Bank Transfer
87,XYZ Apparel,Denim,Natural Fibers,Europe,Mike Johnson,9/20/2024,415,13.79,5722.85,Credit Card
88,XYZ Apparel,Silk Fabric,Blended Fabrics,Asia,Mike Johnson,9/18/2024,754,17.6,13270.4,Bank Transfer
89,XYZ Apparel,Cotton Fabric,Natural Fibers,Europe,John Doe,9/2/2024,254,11.92,3027.68,Bank Transfer
90,XYZ Apparel,Woolen Fabric,Natural Fibers,Asia,John Doe,9/8/2024,909,13.43,12207.87,PayPal
91,XYZ Apparel,Silk Fabric,Natural Fibers,Europe,Mike Johnson,9/18/2024,710,28.4,20164,Cash
92,XYZ Apparel,Woolen Fabric,Natural Fibers,Europe,Jane Smith,9/9/2024,452,11.65,5265.8,PayPal
93,XYZ Apparel,Cotton Fabric,Natural Fibers,North America,Mike Johnson,9/15/2024,679,29.35,19928.65,Bank Transfer
94,XYZ Apparel,Woolen Fabric,Natural Fibers,Asia,Mike Johnson,9/2/2024,162,20.12,3259.44,Bank Transfer
95,XYZ Apparel,Denim,Natural Fibers,Europe,Jane Smith,9/13/2024,869,25,21725,Bank Transfer
96,XYZ Apparel,Cotton Fabric,Natural Fibers,Asia,John Doe,9/16/2024,460,23.03,10593.8,PayPal
97,ABC Textiles,Silk Fabric,Blended Fabrics,Asia,Mike Johnson,9/6/2024,883,8.87,7832.21,Cash
98,XYZ Apparel,Silk Fabric,Blended Fabrics,North America,John Doe,9/21/2024,332,23.31,7738.92,PayPal
99,ABC Textiles,Cotton Fabric,Blended Fabrics,Asia,Jane Smith,8/27/2024,407,28.04,11412.28,PayPal
100,ABC Textiles,Silk Fabric,Natural Fibers,North America,John Doe,9/8/2024,574,18.62,10687.88,Bank Transfer
101,XYZ Apparel,Silk Fabric,Natural Fibers,Europe,John Doe,9/20/2024,862,24.22,20877.64,PayPal
102,ABC Textiles,Silk Fabric,Blended Fabrics,North America,Mike Johnson,9/22/2024,653,29.32,19145.96,Bank Transfer
103,XYZ Apparel,Silk Fabric,Blended Fabrics,Asia,Jane Smith,9/10/2024,295,14.51,4280.45,Cash
104,ABC Textiles,Denim,Natural Fibers,North America,John Doe,8/26/2024,299,6.49,1940.51,Cash
105,XYZ Apparel,Woolen Fabric,Blended Fabrics,Europe,Mike Johnson,9/10/2024,780,21.96,17128.8,Credit Card
106,XYZ Apparel,Denim,Blended Fabrics,Europe,Jane Smith,8/31/2024,845,21.82,18437.9,Bank Transfer
107,XYZ Apparel,Woolen Fabric,Natural Fibers,North America,Mike Johnson,9/22/2024,405,14.42,5840.1,PayPal
108,ABC Textiles,Silk Fabric,Natural Fibers,Asia,Jane Smith,9/18/2024,447,8,3576,PayPal
109,ABC Textiles,Silk Fabric,Natural Fibers,North America,Mike Johnson,9/3/2024,979,22.93,22448.47,Credit Card
110,XYZ Apparel,Denim,Natural Fibers,North America,Jane Smith,9/21/2024,366,7.68,2810.88,Bank Transfer
111,XYZ Apparel,Cotton Fabric,Natural Fibers,North America,Mike Johnson,9/13/2024,545,9.92,5406.4,Bank Transfer
112,ABC Textiles,Silk Fabric,Blended Fabrics,Asia,John Doe,9/13/2024,760,25.53,19402.8,PayPal
113,XYZ Apparel,Denim,Natural Fibers,Europe,Jane Smith,9/17/2024,977,17.64,17234.28,PayPal
114,ABC Textiles,Woolen Fabric,Natural Fibers,Europe,Jane Smith,9/3/2024,733,24.88,18237.04,Credit Card
115,ABC Textiles,Woolen Fabric,Natural Fibers,North America,Jane Smith,9/4/2024,613,18.79,11518.27,Cash
116,ABC Textiles,Silk Fabric,Natural Fibers,Europe,John Doe,9/6/2024,432,6.01,2596.32,Cash
117,XYZ Apparel,Silk Fabric,Natural Fibers,Asia,Mike Johnson,9/19/2024,624,17.7,11044.8,Credit Card
118,ABC Textiles,Cotton Fabric,Blended Fabrics,North America,John Doe,9/15/2024,585,10.5,6142.5,Bank Transfer
119,ABC Textiles,Silk Fabric,Blended Fabrics,Asia,Mike Johnson,8/24/2024,454,28.49,12934.46,Cash
120,ABC Textiles,Denim,Blended Fabrics,North America,Mike Johnson,9/13/2024,394,29.12,11473.28,PayPal
121,XYZ Apparel,Silk Fabric,Natural Fibers,Europe,John Doe,9/19/2024,981,18.13,17785.53,Cash
122,XYZ Apparel,Cotton Fabric,Blended Fabrics,Europe,John Doe,9/1/2024,766,28.69,21976.54,Credit Card
123,ABC Textiles,Woolen Fabric,Natural Fibers,Europe,Mike Johnson,9/20/2024,885,24.68,21841.8,Bank Transfer
124,XYZ Apparel,Cotton Fabric,Natural Fibers,Asia,Jane Smith,8/24/2024,877,14.82,12997.14,Credit Card
125,ABC Textiles,Woolen Fabric,Natural Fibers,Asia,John Doe,8/24/2024,932,25.22,23505.04,Cash
126,ABC Textiles,Woolen Fabric,Natural Fibers,North America,John Doe,9/16/2024,184,29.64,5453.76,Bank Transfer
127,ABC Textiles,Woolen Fabric,Natural Fibers,Europe,Mike Johnson,9/10/2024,645,8.87,5721.15,Bank Transfer
128,ABC Textiles,Woolen Fabric,Blended Fabrics,North America,John Doe,9/20/2024,504,7.05,3553.2,PayPal
129,XYZ Apparel,Silk Fabric,Blended Fabrics,Europe,Jane Smith,8/30/2024,833,29.2,24323.6,Bank Transfer
130,ABC Textiles,Woolen Fabric,Blended Fabrics,North America,Jane Smith,9/4/2024,786,6.94,5454.84,Cash
131,XYZ Apparel,Denim,Blended Fabrics,Europe,Mike Johnson,9/19/2024,367,26.51,9729.17,Credit Card
132,XYZ Apparel,Cotton Fabric,Blended Fabrics,North America,Jane Smith,8/27/2024,722,24.56,17732.32,PayPal
133,ABC Textiles,Woolen Fabric,Blended Fabrics,Europe,Jane Smith,9/21/2024,587,25.37,14892.19,PayPal
134,XYZ Apparel,Woolen Fabric,Blended Fabrics,North America,Jane Smith,9/22/2024,478,22.83,10912.74,PayPal
135,XYZ Apparel,Denim,Blended Fabrics,North America,Jane Smith,9/11/2024,863,17.78,15344.14,Credit Card
136,ABC Textiles,Silk Fabric,Natural Fibers,Asia,Jane Smith,9/12/2024,649,19.43,12610.07,Credit Card
137,XYZ Apparel,Woolen Fabric,Blended Fabrics,Asia,Jane Smith,9/21/2024,347,7.97,2765.59,Bank Transfer
138,XYZ Apparel,Cotton Fabric,Natural Fibers,North America,Mike Johnson,9/17/2024,180,19.66,3538.8,PayPal
139,XYZ Apparel,Denim,Natural Fibers,Europe,Jane Smith,9/20/2024,665,27.07,18001.55,Bank Transfer
140,ABC Textiles,Cotton Fabric,Natural Fibers,Asia,John Doe,9/17/2024,625,8.72,5450,PayPal
141,ABC Textiles,Silk Fabric,Natural Fibers,Europe,Jane Smith,8/25/2024,238,10.44,2484.72,PayPal
142,ABC Textiles,Woolen Fabric,Natural Fibers,Asia,John Doe,8/26/2024,686,10.87,7456.82,PayPal
143,XYZ Apparel,Denim,Natural Fibers,Europe,Jane Smith,8/27/2024,323,29.68,9586.64,PayPal
144,ABC Textiles,Woolen Fabric,Natural Fibers,Asia,John Doe,8/28/2024,225,11.8,2655,Credit Card
145,ABC Textiles,Silk Fabric,Blended Fabrics,North America,Mike Johnson,9/8/2024,668,22.25,14863,PayPal
146,XYZ Apparel,Denim,Blended Fabrics,North America,John Doe,8/31/2024,261,23.66,6175.26,Credit Card
147,ABC Textiles,Denim,Natural Fibers,Europe,John Doe,9/18/2024,781,19.66,15354.46,Bank Transfer
148,ABC Textiles,Woolen Fabric,Blended Fabrics,Asia,Jane Smith,9/4/2024,421,25.9,10903.9,Credit Card
149,ABC Textiles,Cotton Fabric,Natural Fibers,Europe,Mike Johnson,9/20/2024,313,24.8,7762.4,Bank Transfer
150,ABC Textiles,Denim,Natural Fibers,Europe,Jane Smith,9/19/2024,583,5.36,3124.88,Bank Transfer
151,ABC Textiles,Woolen Fabric,Natural Fibers,Asia,John Doe,8/26/2024,422,22.77,9608.94,Credit Card
152,XYZ Apparel,Denim,Natural Fibers,Asia,Mike Johnson,9/17/2024,191,14.02,2677.82,Cash
153,ABC Textiles,Woolen Fabric,Natural Fibers,North America,John Doe,9/9/2024,375,8.2,3075,PayPal
154,ABC Textiles,Woolen Fabric,Natural Fibers,North America,John Doe,9/19/2024,569,18.94,10776.86,Bank Transfer
155,XYZ Apparel,Woolen Fabric,Blended Fabrics,Europe,Mike Johnson,9/17/2024,673,9.99,6723.27,Credit Card
156,XYZ Apparel,Denim,Blended Fabrics,Europe,John Doe,9/7/2024,698,7.32,5109.36,Bank Transfer
157,ABC Textiles,Silk Fabric,Blended Fabrics,Asia,John Doe,8/31/2024,425,22.45,9541.25,Cash
158,ABC Textiles,Denim,Blended Fabrics,North America,Mike Johnson,9/5/2024,165,16.28,2686.2,Credit Card
159,XYZ Apparel,Woolen Fabric,Blended Fabrics,Europe,Mike Johnson,8/25/2024,916,15.48,14179.68,PayPal
160,XYZ Apparel,Woolen Fabric,Natural Fibers,Europe,Jane Smith,9/2/2024,555,6.66,3696.3,PayPal
161,ABC Textiles,Silk Fabric,Natural Fibers,Asia,Mike Johnson,8/25/2024,443,17.79,7880.97,Bank Transfer
162,XYZ Apparel,Silk Fabric,Natural Fibers,Europe,John Doe,9/6/2024,714,28.65,20456.1,PayPal
163,XYZ Apparel,Silk Fabric,Blended Fabrics,Asia,John Doe,9/11/2024,217,9.95,2159.15,Credit Card
164,ABC Textiles,Woolen Fabric,Blended Fabrics,Europe,John Doe,9/5/2024,818,26.12,21366.16,Cash
165,XYZ Apparel,Cotton Fabric,Natural Fibers,Asia,Mike Johnson,8/26/2024,424,23.26,9862.24,Cash
166,XYZ Apparel,Silk Fabric,Natural Fibers,Europe,Jane Smith,9/19/2024,337,19.87,6696.19,Bank Transfer
167,ABC Textiles,Denim,Natural Fibers,Asia,John Doe,9/15/2024,662,28.99,19191.38,Bank Transfer
168,ABC Textiles,Silk Fabric,Blended Fabrics,Asia,John Doe,8/31/2024,156,10.63,1658.28,Credit Card
169,XYZ Apparel,Denim,Blended Fabrics,North America,Mike Johnson,8/29/2024,753,14.05,10579.65,Cash
170,ABC Textiles,Silk Fabric,Natural Fibers,North America,Mike Johnson,9/11/2024,456,7.01,3196.56,Cash
171,XYZ Apparel,Cotton Fabric,Natural Fibers,Europe,Mike Johnson,9/11/2024,118,29.01,3423.18,PayPal
172,XYZ Apparel,Woolen Fabric,Natural Fibers,Asia,John Doe,9/22/2024,314,16.73,5253.22,PayPal
173,ABC Textiles,Cotton Fabric,Blended Fabrics,North America,John Doe,9/8/2024,925,14.46,13375.5,Credit Card
174,XYZ Apparel,Silk Fabric,Blended Fabrics,Europe,John Doe,9/16/2024,431,27.58,11886.98,Credit Card
175,XYZ Apparel,Denim,Blended Fabrics,North America,Jane Smith,9/9/2024,840,10.93,9181.2,Credit Card
176,XYZ Apparel,Cotton Fabric,Blended Fabrics,Europe,Mike Johnson,9/4/2024,674,20.02,13493.48,Cash
177,XYZ Apparel,Denim,Natural Fibers,Asia,Jane Smith,9/14/2024,498,5.71,2843.58,PayPal
178,ABC Textiles,Cotton Fabric,Blended Fabrics,Europe,John Doe,9/16/2024,136,22.44,3051.84,PayPal
179,XYZ Apparel,Silk Fabric,Natural Fibers,North America,Mike Johnson,9/16/2024,104,24.19,2515.76,PayPal
180,ABC Textiles,Denim,Blended Fabrics,Asia,Jane Smith,8/31/2024,432,19.05,8229.6,Credit Card
181,ABC Textiles,Denim,Blended Fabrics,Asia,Mike Johnson,8/31/2024,238,16.65,3962.7,Bank Transfer
182,ABC Textiles,Cotton Fabric,Blended Fabrics,Asia,Jane Smith,9/6/2024,318,10.99,3494.82,Bank Transfer
183,ABC Textiles,Woolen Fabric,Blended Fabrics,North America,John Doe,8/30/2024,601,11.42,6863.42,Credit Card
184,XYZ Apparel,Silk Fabric,Natural Fibers,Asia,Jane Smith,9/2/2024,216,6.59,1423.44,PayPal
185,ABC Textiles,Silk Fabric,Blended Fabrics,North America,Jane Smith,9/6/2024,744,15.87,11807.28,Bank Transfer
186,XYZ Apparel,Woolen Fabric,Natural Fibers,Asia,Mike Johnson,9/17/2024,799,26.9,21493.1,Credit Card
187,ABC Textiles,Woolen Fabric,Blended Fabrics,North America,Jane Smith,9/16/2024,642,28.87,18534.54,Bank Transfer
188,ABC Textiles,Woolen Fabric,Blended Fabrics,Europe,John Doe,9/8/2024,450,14.65,6592.5,PayPal
189,XYZ Apparel,Cotton Fabric,Blended Fabrics,Asia,John Doe,9/11/2024,410,23.62,9684.2,Credit Card
190,XYZ Apparel,Silk Fabric,Blended Fabrics,North America,Mike Johnson,9/14/2024,955,10.14,9683.7,PayPal
191,ABC Textiles,Denim,Blended Fabrics,North America,John Doe,9/21/2024,449,28.2,12661.8,Cash
192,ABC Textiles,Cotton Fabric,Blended Fabrics,Asia,John Doe,9/4/2024,845,29.04,24538.8,Cash
193,ABC Textiles,Denim,Natural Fibers,Asia,Jane Smith,9/11/2024,931,10.73,9989.63,Bank Transfer
194,XYZ Apparel,Silk Fabric,Blended Fabrics,Asia,Mike Johnson,9/5/2024,871,22.79,19850.09,Bank Transfer
195,XYZ Apparel,Cotton Fabric,Blended Fabrics,Europe,John Doe,9/21/2024,211,19.88,4194.68,PayPal
196,XYZ Apparel,Cotton Fabric,Blended Fabrics,North America,Mike Johnson,9/3/2024,527,5.98,3151.46,Credit Card
197,XYZ Apparel,Silk Fabric,Natural Fibers,North America,Mike Johnson,9/1/2024,689,24.21,16680.69,Bank Transfer
198,XYZ Apparel,Silk Fabric,Natural Fibers,Europe,Jane Smith,8/28/2024,322,9.08,2923.76,Bank Transfer
199,XYZ Apparel,Silk Fabric,Natural Fibers,Asia,John Doe,8/27/2024,691,13.38,9245.58,PayPal
200,ABC Textiles,Denim,Natural Fibers,Asia,Mike Johnson,9/22/2024,663,20.18,13379.34,Bank Transfer
201,XYZ Apparel,Cotton Fabric,Blended Fabrics,Asia,Jane Smith,9/1/2024,507,6.73,3412.11,Bank Transfer
202,XYZ Apparel,Silk Fabric,Blended Fabrics,Asia,Jane Smith,9/18/2024,161,24.99,4023.39,Cash
203,ABC Textiles,Silk Fabric,Natural Fibers,Europe,John Doe,9/2/2024,189,17.22,3254.58,Credit Card
204,XYZ Apparel,Woolen Fabric,Blended Fabrics,Asia,Jane Smith,9/5/2024,400,5.09,2036,Credit Card
205,ABC Textiles,Cotton Fabric,Natural Fibers,Europe,John Doe,8/24/2024,468,22.18,10380.24,Credit Card
206,XYZ Apparel,Cotton Fabric,Natural Fibers,Asia,Jane Smith,8/26/2024,719,10.55,7585.45,Cash
207,ABC Textiles,Silk Fabric,Natural Fibers,North America,Jane Smith,9/17/2024,340,7.38,2509.2,Cash
208,XYZ Apparel,Cotton Fabric,Blended Fabrics,Europe,John Doe,9/17/2024,899,6.28,5645.72,PayPal
209,XYZ Apparel,Silk Fabric,Blended Fabrics,Asia,Mike Johnson,9/9/2024,531,12.01,6377.31,Credit Card
210,XYZ Apparel,Woolen Fabric,Natural Fibers,Europe,John Doe,9/22/2024,413,15.92,6574.96,Cash
211,ABC Textiles,Cotton Fabric,Natural Fibers,North America,John Doe,9/17/2024,760,20.14,15306.4,PayPal
212,ABC Textiles,Silk Fabric,Blended Fabrics,Europe,Jane Smith,9/15/2024,559,25.84,14444.56,PayPal
213,XYZ Apparel,Woolen Fabric,Blended Fabrics,Europe,Mike Johnson,9/2/2024,391,9.55,3734.05,PayPal
214,XYZ Apparel,Woolen Fabric,Natural Fibers,Europe,Mike Johnson,9/5/2024,379,28.7,10877.3,Credit Card
215,XYZ Apparel,Silk Fabric,Natural Fibers,North America,John Doe,8/26/2024,589,29.38,17304.82,Credit Card
216,XYZ Apparel,Woolen Fabric,Natural Fibers,North America,Mike Johnson,9/3/2024,1000,22.45,22450,Cash
217,XYZ Apparel,Cotton Fabric,Natural Fibers,Asia,John Doe,9/8/2024,130,25.68,3338.4,Bank Transfer
218,XYZ Apparel,Woolen Fabric,Natural Fibers,North America,John Doe,8/27/2024,834,5.2,4336.8,Cash
219,XYZ Apparel,Cotton Fabric,Natural Fibers,Europe,John Doe,9/11/2024,477,28.63,13656.51,Cash
220,XYZ Apparel,Woolen Fabric,Natural Fibers,Europe,Mike Johnson,9/6/2024,454,24.68,11204.72,Credit Card
221,ABC Textiles,Cotton Fabric,Blended Fabrics,Asia,Jane Smith,8/24/2024,877,8.52,7472.04,PayPal
222,XYZ Apparel,Woolen Fabric,Natural Fibers,North America,Mike Johnson,8/31/2024,419,11.92,4994.48,Bank Transfer
223,ABC Textiles,Silk Fabric,Natural Fibers,Asia,Mike Johnson,9/20/2024,440,22.76,10014.4,Cash
224,XYZ Apparel,Cotton Fabric,Natural Fibers,North America,John Doe,9/10/2024,857,5.43,4653.51,Credit Card
225,XYZ Apparel,Denim,Natural Fibers,Asia,Mike Johnson,9/2/2024,874,13.48,11781.52,Bank Transfer
226,ABC Textiles,Cotton Fabric,Blended Fabrics,North America,Jane Smith,9/6/2024,227,16.57,3761.39,PayPal
227,ABC Textiles,Denim,Natural Fibers,Asia,John Doe,9/14/2024,566,24.99,14144.34,Cash
228,ABC Textiles,Silk Fabric,Natural Fibers,North America,Jane Smith,9/16/2024,774,11.72,9071.28,Credit Card
